Id,Occurrences
Amar Gambit,2
Amar,20
Amar: Paris Gambit,2
Anderssen's,68
Barnes: Hammerschlag,6
Clemenz,21
Crab,2
Creepy Crawly Formation: Classical,5
Gedult's,52
Global,1
Grob,59
Grob: Grob Gambit,35
Grob: Grob Gambit Declined,20
"Grob: Grob Gambit, Fritz Gambit",12
Grob: Keene,3
Grob: Spike Attack,5
"Grob: Spike, Hurst Attack",2
Hungarian,1262
Hungarian: Catalan Formation,48
Hungarian: Dutch,30
Hungarian: Indian,247
Hungarian: Reversed Alekhine,8
Hungarian: Reversed Modern,26
Hungarian: Sicilian Invitation,93
Hungarian: Slav Formation,143
Hungarian: Symmetrical,118
Hungarian: Van Kuijk Gambit,1
"Indian: Colle System, King's Indian",5
Kádas,70
Lasker Simul Special,48
Mieses,334
Mieses: Reversed Rat,40
Polish,210
Polish: Baltic,1
Polish: Birmingham Gambit,3
Polish: Bugayev Attack,8
Polish: Czech,10
Polish: Dutch,1
Polish: German,4
Polish: Grigorian,1
Polish: King's Indian,14
Polish: Outflank,10
Polish: Queenside,3
Polish: Schiffler-Sokolsky,3
Polish: Symmetrical,1
Polish: Tartakower Gambit,1
Saragossa,147
Sodium Attack,2
Valencia,3
Van Geet,485
Van Geet: Battambang,7
Van Geet: Dougherty Gambit,5
Van Geet: Dunst-Perrenet Gambit,8
Van Geet: Kluever Gambit,1
Van Geet: Laroche Gambit,2
Van Geet: Myers Attack,6
Van Geet: Napoleon Attack,21
Van Geet: Novosibirsk,18
Van Geet: Reversed Nimzowitsch,45
Van Geet: Reversed Scandinavian,2
Van Geet: Sicilian Two Knights,16
Van Geet: Tübingen Gambit,2
Van't Kruijs,384
Ware,45
Nimzo-Larsen Attack,1115
Nimzo-Larsen Attack: Classical,460
Nimzo-Larsen Attack: Dutch,7
Nimzo-Larsen Attack: English,63
Nimzo-Larsen Attack: Indian,238
Nimzo-Larsen Attack: Modern,333
Nimzo-Larsen Attack: Polish,5
Nimzo-Larsen Attack: Ringelbach Gambit,1
Nimzo-Larsen Attack: Spike,9
Nimzo-Larsen Attack: Symmetrical,39
Bird,690
Bird: From's Gambit,93
"Bird: From's Gambit, Bahr Gambit",1
