Id,Occurrences
Amar Gambit,3
Amar,67
Amar: Paris Gambit,5
Anderssen's,282
Barnes: Hammerschlag,27
Clemenz,91
Crab,7
Creepy Crawly Formation: Classical,16
Gedult's,199
Global,7
Grob,166
Grob: Double Grob,2
Grob: Grob Gambit,76
Grob: Grob Gambit Declined,44
"Grob: Grob Gambit, Basman Gambit",1
"Grob: Grob Gambit, Fritz Gambit",29
Grob: Keene,7
"Grob: Keene, Main Line",1
Grob: London,1
Grob: Spike Attack,11
"Grob: Spike, Hurst Attack",6
Hungarian,4156
Hungarian: Catalan Formation,134
Hungarian: Dutch,100
Hungarian: Indian,774
Hungarian: Myers,3
Hungarian: Reversed Alekhine,18
Hungarian: Reversed Modern,81
Hungarian: Sicilian Invitation,272
Hungarian: Slav Formation,468
Hungarian: Symmetrical,419
Hungarian: Van Kuijk Gambit,14
"Indian: Colle System, King's Indian",11
Kádas,288
Kádas: Schneider Gambit,1
Lasker Simul Special,213
Mieses,1222
Mieses: Reversed Rat,144
Polish,735
Polish: Baltic,7
Polish: Birmingham Gambit,11
Polish: Bugayev Advance,4
Polish: Bugayev Attack,31
Polish: Czech,27
Polish: Dutch,2
Polish: German,9
Polish: Grigorian,1
Polish: King's Indian,32
"Polish: King's Indian, Schiffler Attack",1
Polish: Outflank,33
Polish: Queen's Indian,1
Polish: Queenside,6
Polish: Rooks Swap Line,1
Polish: Schiffler-Sokolsky,8
Polish: Symmetrical,7
Polish: Tartakower Gambit,4
Saragossa,492
Sodium Attack,11
Valencia,11
Van Geet,1853
Van Geet: Battambang,12
Van Geet: Dougherty Gambit,12
Van Geet: Dunst-Perrenet Gambit,16
Van Geet: Hector Gambit,2
Van Geet: Kluever Gambit,4
Van Geet: Laroche Gambit,3
Van Geet: Myers Attack,24
Van Geet: Napoleon Attack,79
Van Geet: Novosibirsk,56
Van Geet: Reversed Nimzowitsch,149
Van Geet: Reversed Scandinavian,7
Van Geet: Sicilian Two Knights,52
Van Geet: Tübingen Gambit,35
Van Geet: Venezolana,1
Van't Kruijs,1257
Ware,213
Ware: Meadow Hay Trap,3
Nimzo-Larsen Attack,4215
Nimzo-Larsen Attack: Classical,1772
Nimzo-Larsen Attack: Dutch,26
Nimzo-Larsen Attack: English,241
Nimzo-Larsen Attack: Indian,902
Nimzo-Larsen Attack: Modern,1204
Nimzo-Larsen Attack: Pachman Gambit,2
Nimzo-Larsen Attack: Polish,24
Nimzo-Larsen Attack: Ringelbach Gambit,2
Nimzo-Larsen Attack: Spike,39
Nimzo-Larsen Attack: Symmetrical,147
Bird,2126
Bird: From's Gambit,280
"Bird: From's Gambit, Bahr Gambit",1
"Bird: From's Gambit, Langheld Gambit",4
"Bird: From's Gambit, Lasker",104
Bird: Hobbs Gambit,7
Bird: Horsefly,43
Bird: Mujannah,6
Bird: Myers,11
Bird: Schlechter Gambit,13
Bird: Wagner-Zwitersch Gambit,21
System: Double Duck Formation,1
Bird: Dutch,857
"Bird: Dutch, Dudweiler Gambit",2
Bird: Lasker,30
Bird: Sturm Gambit,37
Colle System: Rhamphorhynchus,3
"Modern: Semi-Averbakh, Polish",6
"Modern: Semi-Averbakh, Pterodactyl",21
"Modern: Semi-Averbakh, Pterodactyl Accepted",1
Zukertort,34108
Zukertort: Arctic,34
Zukertort: Basman,90
Zukertort: Black Mustang,478
Zukertort: Drunken Cavalry,1
Zukertort: Dutch,857
Zukertort: Herrstrom Gambit,42
Zukertort: Kingside Fianchetto,2179
Zukertort: Lisitsyn Gambit,55
