Id,Occurrences
Hungarian,1
Hungarian: Indian,1
Mieses,1
Mieses: Reversed Rat,1
Van Geet,2
Van't Kruijs,2
Nimzo-Larsen Attack,1
Nimzo-Larsen Attack: Indian,1
Zukertort,8
Zukertort: Sicilian Invitation,2
KIA,2
KIA: French,1
Réti,1
English,6
English: Caro-Kann Defensive System,1
English: Agincourt,1
English: Neo-Catalan,2
English: Neo-Catalan Declined,1
"English: Agincourt, Neo-Catalan Declined",1
English: Anglo-Indian,2
"English: Anglo-Indian, King's Knight",1
"English: Anglo-Indian, Queen's Knight",2
"English: Anglo-Indian, Hedgehog System",1
English: Symmetrical,3
"English: Symmetrical, Anti-Benoni",2
"English: Symmetrical, Anti-Benoni, Spielmann",1
Englund Gambit,2
Englund Gambit Complex: Soller Gambit Deferred,2
Horwitz,2
Modern,3
Queen's Pawn,45
Modern: Averbakh System,1
"Benoni: Benoni-Indian, Kingside Move Order",1
Indian: Pseudo-Benko,1
Indian,22
Queen's Pawn: Chigorin,3
Trompowsky Attack,2
Trompowsky Attack: Classical,1
Indian: Knights,6
Indian: Spielmann-Indian,1
Indian: Wade-Tartakower,1
Yusupov-Rubinstein System,1
Queen's Indian,2
Indian: Normal,10
Slav Indian,1
Old Indian: Tartakower-Indian,1
Benoni,2
Benko Gambit,1
Benko Gambit Accepted,1
Benko Gambit Accepted: Modern,1
Dutch,1
King's Pawn,34
Nimzowitsch,1
Nimzowitsch: Scandinavian,1
"Nimzowitsch: Scandinavian, Advance",1
Pirc,1
Scandinavian,1
Scandinavian: Classical,1
Scandinavian: Main Line,1
"Scandinavian: Main Line, Mieses",1
Scandinavian: Mieses-Kotroc,1
Alekhine,1
Alekhine: Normal,1
Alekhine: Two Pawn Attack,1
Alekhine: Exchange,1
"Modern: Lizard, Mittenberger Gambit",1
Modern: Standard Line,1
Pirc: Byrne,1
Caro-Kann,4
Caro-Kann: Advance,1
"Caro-Kann: Advance, Van der Wiel Attack",1
Caro-Kann: Modern,1
Caro-Kann: Exchange,1
"Caro-Kann: Exchange, Rubinstein",1
Caro-Kann: Main Line,2
Caro-Kann: Tartakower,1
Caro-Kann: Classical,1
"Caro-Kann: Classical, Spassky",1
Sicilian,16
Sicilian: Smith-Morra Gambit,1
"Sicilian: Smith-Morra Gambit Declined, Alapin Formation",1
"Sicilian: Alapin, Smith-Morra Declined",1
Sicilian: Closed,1
Sicilian: Nyezhmetdinov-Rossolimo Attack,2
Sicilian: Old Sicilian,2
Sicilian: French,2
"Sicilian: French, Open",2
Sicilian: Kan,2
"Sicilian: Kan, Maróczy Bind, Réti",1
"Sicilian: Kan, Knight",1
Sicilian: Moderns,6
Sicilian: Moscow,1
"Sicilian: Moderns, Main Line",4
Sicilian: Venice Attack,1
Sicilian: Dragon,1
"Sicilian: Dragon, Yugoslav Attack, Early Deviations",1
"Sicilian: Dragon, Yugoslav Attack",1
"Sicilian: Dragon, Yugoslav Attack, Panov",1
"Sicilian: Scheveningen, Classical",1
Sicilian: Najdorf,2
"Sicilian: Najdorf, Opocensky",1
French,9
French: Normal,4
French: Advance,2
"French: Advance, Milner-Barry Gambit",1
French: Tarrasch,2
"French: Tarrasch, Chistyakov",1
"French: Tarrasch, Open System",2
"French: Tarrasch, Open System, Main Line",1
Bishop's,1
Elephant Gambit,1
Elephant Gambit: Paulsen Countergambit,1
King's Knight,6
Philidor,1
Philidor: Hanham,1
Philidor: Lion,1
King's Knight: Normal,4
Ponziani,1
Ponziani: Steinitz,1
Scotch,1
Scotch: Mieses,1
Scotch: Schmidt,1
Giuoco Piano,1
Italian,1
RL,1
RL: Exchange,1
"RL: Exchange, Alapin Gambit",1
"RL: Exchange, Normal",1
RL: Morphy,1
Closed,16
Queen's Pawn: Levitsky Attack,1
Queen's Pawn: Mason,3
"Queen's Pawn: Veresov Attack, Richter",1
Rapport-Jobava System,2
Richter-Veresov Attack,1
Queen's Pawn: Symmetrical,2
"Queen's Pawn: Symmetrical, Pseudo-Catalan",1
Queen's Pawn: Zukertort,2
Queen's Pawn: Colle System,1
"Queen's Pawn: Colle System, Traditional Colle",1
QG,11
QG Declined: Marshall,1
Slav,3
Slav: Modern Line,2
Slav: Three Knights,1
QG Accepted,1
QG Accepted: Showalter,1
QG Declined,10
QG Declined: Janowski,1
QG Declined: Queen's Knight,6
QG Declined: Exchange,1
"QG Declined: Exchange, Positional",1
QG Declined: Harrwitz Attack,1
QG Declined: Normal,4
"QG Declined: Harrwitz Attack, Fianchetto",1
QG Declined: Three Knights,5
QG Declined: Ragozin,1
QG Declined: Semi-Tarrasch,2
"QG Declined: Semi-Tarrasch, Exchange",1
Semi-Slav,2
QG Declined: Modern,1
QG Declined: Neo-Orthodox,1
"Neo-Grünfeld: Classical, Original",2
Grünfeld,1
Grünfeld: Stockholm,1
Catalan,1
Catalan: Closed,2
"Catalan: Closed, Main Line",1
Indian: Anti-Nimzo-Indian,2
Tarrasch: Symmetrical,1
Queen's Indian: Kasparov,1
Nimzo-Indian,1
"Nimzo-Indian: Sämisch, Accelerated",1
Nimzo-Indian: Sämisch,1
"Nimzo-Indian: Normal, Ragozin",1
Grünfeld: Counterthrust,1
"Indian: King's Indian, Fianchetto",1
Indian: West Indian,5
"King's Indian: Fianchetto, Immediate Fianchetto",3
King's Indian,2
King's Indian: Normal,3
"King's Indian: Four Pawns Attack, Dynamic Attack",1
King's Indian: Sämisch,1
"King's Indian: Sämisch, Normal",1
"King's Indian: Sämisch, Sämisch Gambit",1
"King's Indian: Normal, Rares",1
King's Indian: Orthodox,1
"King's Indian: Orthodox, Aronin-Taimanov",1
"King's Indian: Orthodox, Classical System",1
Start,1
