Id,Occurrences
Amar Gambit,1
Amar: Paris Gambit,1
Anderssen's,1
Clemenz,1
Creepy Crawly Formation: Classical,1
Hungarian,27
Hungarian: Catalan Formation,3
Hungarian: Dutch,1
Hungarian: Indian,5
Hungarian: Reversed Modern,1
Hungarian: Sicilian Invitation,3
Hungarian: Slav Formation,2
Kádas,2
Mieses,7
Mieses: Reversed Rat,1
Polish,7
Saragossa,12
Van Geet,11
Van Geet: Dunst-Perrenet Gambit,1
Van Geet: Novosibirsk,1
Van Geet: Reversed Nimzowitsch,1
Van't Kruijs,11
Ware,1
Nimzo-Larsen Attack,28
Nimzo-Larsen Attack: Classical,12
Nimzo-Larsen Attack: Indian,8
Nimzo-Larsen Attack: Modern,11
Nimzo-Larsen Attack: Symmetrical,1
Bird,39
Bird: From's Gambit,6
"Bird: From's Gambit, Lasker",3
Bird: Horsefly,2
Bird: Dutch,12
Bird: Sturm Gambit,1
Zukertort,305
Zukertort: Arctic,1
Zukertort: Basman,1
Zukertort: Dutch,14
Zukertort: Kingside Fianchetto,14
Zukertort: Lisitsyn Gambit,2
Zukertort: Pirc Invitation,13
Zukertort: QG Invitation,11
Zukertort: Queenside Fianchetto,4
Zukertort: Sicilian Invitation,30
Zukertort: Slav Invitation,2
Zukertort: Vos Gambit,1
KIA,53
KIA: Symmetrical,13
KIA: Wahls,4
Zukertort: Lemberger Gambit,2
Zukertort: Nimzo-Larsen,6
Zukertort: Quiet System,3
Zukertort: Old Indian Attack,1
Zukertort: Tennison Gambit,2
KIA: Double Fianchetto,2
KIA: Keres,6
KIA: Sicilian,7
KIA: Yugoslav,3
KIA: French,3
Zukertort: Grünfeld Reversed,1
Réti,26
Réti: Advance,9
"Réti: Advance, Michel Gambit",3
Réti: Réti Accepted,1
English,191
English: Anglo-Dutch,6
"English: Anglo-Dutch, Hickmann Gambit",1
English: Anglo-Lithuanian,2
English: Anglo-Scandinavian,1
English: Great Snake,15
English: Caro-Kann Defensive System,17
English: Agincourt,46
"English: Agincourt, Catalan Accepted",5
"English: Agincourt, Catalan, Semi-Slav",2
"English: Agincourt, Wimpy System",1
English: Neo-Catalan,10
English: Neo-Catalan Declined,10
"English: Agincourt, Keres",1
"English: Agincourt, Neo-Catalan Declined",11
"Réti: Anglo-Slav, Bogoljubov, Stonewall Line",1
English: Anglo-Indian,40
"English: Anglo-Indian, Anti-Anti-Grünfeld",2
"English: Anglo-Indian, King's Indian Formation",12
"English: Anglo-Indian, King's Knight",43
"English: Anglo-Indian, Old Indian Formation",4
"English: Anglo-Indian, Queen's Indian Formation",4
"English: Anglo-Indian, Scandinavian",1
"English: Anglo-Indian, Scandinavian, Exchange",1
"English: Anglo-Indian, Queen's Knight",18
"English: Anglo-Indian, Hedgehog System",6
"English: Anglo-Indian, Nimzo-English",1
English: Mikenas-Carls,1
English: King's English,47
"English: King's English, Nimzowitsch",7
"English: King's English, Nimzowitsch-Flohr",4
"English: King's English, Kramnik-Shirov Counterattack",6
"English: King's English, Reversed Sicilian",20
English: Carls-Bremen System,2
"English: King's English, Two Knights",9
"English: King's English, Two Knights, Smyslov System",1
"English: King's English, Two Knights, Keres",1
"English: King's English, Closed System",1
"English: King's English, Reversed Closed Sicilian",5
"English: King's English, Taimanov",2
"English: King's English, Botvinnik System",1
"English: King's English, Closed System, Full Symmetry",1
"English: King's English, Three Knights System",5
"English: Four Knights System, Nimzowitsch",1
"English: King's English, Four Knights",7
"English: King's English, Four Knights, Flexible Line",1
"English: King's English, Four Knights, Quiet Line",1
"English: King's English, Four Knights, Fianchetto Line",3
English: Symmetrical,27
"English: Symmetrical, Hedgehog",1
"English: Symmetrical, Anti-Benoni",12
"English: Symmetrical, Anti-Benoni, Spielmann",5
"English: Symmetrical, Normal",5
"English: Symmetrical, Rubinstein",1
"English: Symmetrical, Three Knights",1
"English: Symmetrical, Two Knights",2
