Id,Occurrences
Amar Gambit,1
Amar,0
Amar: Paris Gambit,1
Anderssen's,0
Clemenz,0
Creepy Crawly Formation: Classical,1
Gedult's,0
Grob,0
Grob: Grob Gambit,5
Grob: Grob Gambit Declined,1
"Grob: Grob Gambit, Fritz Gambit",2
"Grob: Spike, Hurst Attack",2
Hungarian,0
Hungarian: Catalan Formation,6
Hungarian: Dutch,4
Hungarian: Indian,15
Hungarian: Reversed Modern,2
Hungarian: Sicilian Invitation,7
Hungarian: Slav Formation,10
Hungarian: Symmetrical,9
Kádas,0
Lasker Simul Special,2
Mieses,0
Mieses: Reversed Rat,2
Polish,3
Polish: King's Indian,2
Polish: Outflank,1
Saragossa,0
Van Geet,0
Van Geet: Dougherty Gambit,1
Van Geet: Dunst-Perrenet Gambit,2
Van Geet: Napoleon Attack,1
Van Geet: Novosibirsk,1
Van Geet: Reversed Nimzowitsch,6
Van Geet: Sicilian Two Knights,1
Van Geet: Tübingen Gambit,1
Van't Kruijs,0
Ware,1
Nimzo-Larsen Attack,0
Nimzo-Larsen Attack: Classical,42
Nimzo-Larsen Attack: English,8
Nimzo-Larsen Attack: Indian,28
Nimzo-Larsen Attack: Modern,43
Nimzo-Larsen Attack: Polish,2
Nimzo-Larsen Attack: Symmetrical,2
Bird,0
Bird: From's Gambit,8
"Bird: From's Gambit, Lasker",4
Bird: Horsefly,4
Bird: Wagner-Zwitersch Gambit,1
Bird: Dutch,35
Bird: Sturm Gambit,2
"Modern: Semi-Averbakh, Pterodactyl",1
Zukertort,0
Zukertort: Arctic,1
Zukertort: Basman,2
Zukertort: Black Mustang,7
Zukertort: Dutch,21
Zukertort: Kingside Fianchetto,64
Zukertort: Lisitsyn Gambit,4
Zukertort: Pirc Invitation,36
Zukertort: Polish,1
Zukertort: QG Invitation,24
Zukertort: Queenside Fianchetto,12
Zukertort: Sicilian Invitation,97
Zukertort: Slav Invitation,17
Zukertort: St. George,3
Zukertort: Vos Gambit,3
KIA,169
KIA: Smyslov,1
KIA: Spassky,4
KIA: Symmetrical,70
KIA: Wahls,12
Polish: Zukertort System,1
Zukertort: Double Fianchetto Attack,2
Zukertort: Lemberger Gambit,7
Zukertort: Nimzo-Larsen,27
Zukertort: Quiet System,5
Zukertort: Old Indian Attack,4
Zukertort: Reversed Mexican,4
Zukertort: Tennison Gambit,3
"English: Anglo-Indian, Grünfeld Formation",1
KIA: Double Fianchetto,10
KIA: Keres,15
KIA: Omega-Delta Gambit,1
KIA: Pachman System,2
KIA: Sicilian,30
KIA: Yugoslav,8
KIA: French,16
Zukertort: Grünfeld Reversed,5
Réti,65
Réti: Advance,20
"Réti: Advance, Michel Gambit",3
Réti: Reversed Blumenfeld Gambit,1
Réti: Réti Accepted,6
"Réti: Réti Gambit, Keres",1
English,17
English: Anglo-Dutch,15
"English: Anglo-Dutch, Hickmann Gambit",1
English: Anglo-Lithuanian,3
English: Anglo-Scandinavian,7
"English: Anglo-Scandinavian, Malvinas",2
"English: Anglo-Scandinavian, Schulz Gambit",1
English: Great Snake,40
"English: King's English, Botvinnik System, Prickly Pawn Pass System",1
"Modern: Averbakh, Pseudo-Sämisch",1
English: Caro-Kann Defensive System,52
"Réti: Anglo-Slav, Bogoljubov",1
"Réti: Anglo-Slav, New York System",2
English: Agincourt,140
"English: Agincourt, Catalan",2
"English: Agincourt, Catalan Accepted",17
"English: Agincourt, Catalan, Semi-Slav",9
"English: Agincourt, Wimpy System",7
English: Neo-Catalan,36
English: Neo-Catalan Declined,37
English: Romanishin Gambit,1
"English: Agincourt, Keres",2
"English: Agincourt, Neo-Catalan Declined",37
"Réti: Anglo-Slav, Bogoljubov, Stonewall Line",5
English: Anglo-Indian,176
"English: Anglo-Indian, Anti-Anti-Grünfeld",24
"English: Anglo-Indian, King's Indian Formation",62
"English: Anglo-Indian, King's Indian Formation, Double Fianchetto",2
"English: Anglo-Indian, King's Knight",150
"English: Anglo-Indian, Old Indian Formation",8
"English: Anglo-Indian, Queen's Indian Formation",11
"English: Anglo-Indian, Romanishin",1
"English: Anglo-Indian, Scandinavian",5
"English: Anglo-Indian, Scandinavian, Exchange",4
English: Anglo-Grünfeld,4
"English: Anglo-Indian, Anglo-Grünfeld",1
"English: Anglo-Indian, Queen's Knight",87
"English: Anglo-Indian, Hedgehog System",21
"English: Anglo-Indian, Nimzo-English",2
English: Mikenas-Carls,10
"English: Anglo-Indian, Flohr-Mikenas-Carls, Nei Gambit",2
"English: Mikenas-Carls, Sicilian",2
English: King's English,139
"English: King's English, Nimzowitsch",13
"English: King's English, Nimzowitsch-Flohr",6
"English: King's English, Kramnik-Shirov Counterattack",17
"English: King's English, Reversed Sicilian",69
"English: King's English, Smyslov",1
English: Carls-Bremen System,5
"English: King's English, Two Knights",33
"English: King's English, Two Knights, Reversed Dragon",1
"English: King's English, Two Knights, Smyslov System",1
"English: King's English, Two Knights, Keres",2
"English: King's English, Closed System",2
"English: King's English, Reversed Closed Sicilian",23
"English: King's English, Taimanov",4
"English: King's English, Botvinnik System",2
"English: King's English, Closed System, Full Symmetry",2
"English: King's English, Three Knights System",17
"English: Four Knights System, Nimzowitsch",10
"English: King's English, Four Knights",29
"English: King's English, Four Knights, Flexible Line",2
"English: King's English, Four Knights, Quiet Line",7
"English: King's English, Four Knights, Fianchetto Line",9
English: Symmetrical,117
"English: Symmetrical, Hedgehog",4
"English: Symmetrical, Hedgehog, Flexible Formation",1
"English: Symmetrical, Anti-Benoni",37
"English: Symmetrical, Anti-Benoni, Spielmann",14
"English: Symmetrical, Fianchetto",12
"English: Symmetrical, Normal",24
"English: Symmetrical, Rubinstein",2
"English: Symmetrical, Three Knights",3
"English: Symmetrical, Four Knights",5
"English: Symmetrical, Two Knights",13
"English: Symmetrical, Botvinnik System",11
"English: Symmetrical, Botvinnik System Reversed",7
"English: Symmetrical, Symmetrical",29
"English: Symmetrical, Two Knights Line",15
"English: Symmetrical, Duchamp",5
"English: Symmetrical, Full Symmetry Line",2
"English: Symmetrical, Mecking",7
Australian,1
"Dutch: Stonewall, Modern",6
Englund Gambit,26
Englund Gambit Complex Declined,2
Englund Gambit Complex: Englund Gambit,6
Englund Gambit Complex: Felbecker Gambit,1
Englund Gambit Complex: Hartlaub-Charlick Gambit,3
Englund Gambit Complex: Soller Gambit Deferred,5
Englund Gambit Complex: Zilbermints Gambit,1
Englund Gambit Declined: Reversed Alekhine,3
Englund Gambit Declined: Reversed Brooklyn,1
Englund Gambit Declined: Reversed French,3
Englund Gambit Declined: Reversed Krebs,1
Horwitz,147
Kangaroo,1
"Kangaroo: Keres, Transpositional",1
Mikenas,19
Mikenas: Lithuanian,2
Modern,261
Modern: Beefeater,1
"Pterodactyl: Fianchetto, Queen Pteranodon",1
Queen's Pawn,7
Queen's Pawn: Anglo-Slav,4
Old Indian,52
Rat: English Rat,14
Robatsch,1
Wade,6
Modern: Averbakh System,28
Modern: Kotov,12
Benoni: Benoni Gambit Accepted,8
"Benoni: Benoni Gambit, Schlenker",2
Benoni: Benoni-Indian,14
"Benoni: Benoni-Indian, Kingside Move Order",37
Benoni: French Benoni,2
Benoni: Old Benoni,91
"Benoni: Old Benoni, Mujannah Formation",1
"Benoni: Old Benoni, Schmid",2
Indian: Pseudo-Benko,11
