Id,Occurrences
Caro-Kann,66
Caro-Kann: Accelerated Panov Attack,3
"Caro-Kann: Accelerated Panov Attack, Modern",2
Caro-Kann: Apocalypse Attack,1
Caro-Kann: Breyer,1
Caro-Kann: Hector Gambit,2
Caro-Kann: Two Knights Attack,13
"Caro-Kann: Two Knights Attack, Mindeno",4
"Caro-Kann: Two Knights Attack, Mindeno, Exchange Line",4
Caro-Kann: Advance,13
"Caro-Kann: Advance, Botvinnik-Carls",4
"Caro-Kann: Advance, Short",1
"Caro-Kann: Advance, Tal",3
"Caro-Kann: Advance, Van der Wiel Attack",2
Caro-Kann: Maróczy,5
Caro-Kann: Modern,3
Caro-Kann: Exchange,11
"Caro-Kann: Exchange, Rubinstein",3
Caro-Kann: Panov Attack,5
"Caro-Kann: Panov Attack, Modern",1
"Caro-Kann: Panov Attack, Fianchetto",1
"Caro-Kann: Panov Attack, Main Line",1
Caro-Kann: Main Line,11
Caro-Kann: Tartakower,4
Caro-Kann: Bronstein-Larsen,1
Caro-Kann: Karpov,1
"Caro-Kann: Karpov, Modern",1
Caro-Kann: Classical,5
"Caro-Kann: Classical, Main Line",2
"Caro-Kann: Classical, Lobron System",1
"Caro-Kann: Classical, Spassky",2
Sicilian,193
Sicilian: Bowdler Attack,2
Sicilian: Lasker-Dunne Attack,2
Sicilian: Wing Gambit,1
"Sicilian: Wing Gambit, Abrahams",1
Sicilian: Smith-Morra Gambit,9
"Sicilian: Smith-Morra Gambit Accepted, Pin",1
"Sicilian: Smith-Morra Gambit Declined, Alapin Formation",1
"Sicilian: Smith-Morra Gambit Declined, Push",2
Sicilian: Alapin,4
"Sicilian: Alapin, Barmen",2
"Sicilian: Alapin, Smith-Morra Declined",1
Sicilian: Closed,19
"Sicilian: Closed, Traditional",8
Sicilian: Grand Prix Attack,1
"Sicilian: Grand Prix Attack, Schofman",1
"Sicilian: Closed, Fianchetto",2
Sicilian: Hyperaccelerated Dragon,5
Sicilian: Hyperaccelerated Fianchetto,3
"Sicilian: Nimzowitsch, Closed",1
Sicilian: Nyezhmetdinov-Rossolimo Attack,7
Sicilian: Old Sicilian,21
"Sicilian: Nyezhmetdinov-Rossolimo Attack, Fianchetto",4
Sicilian: Accelerated Dragon,3
Sicilian: Flohr,1
Sicilian: Kalashnikov,3
Sicilian: Löwenthal,6
Sicilian: Open,13
"Sicilian: Four Knights, Cobra",1
Sicilian: Lasker-Pelikan,1
"Sicilian: Lasker-Pelikan, Bird",1
"Sicilian: Lasker-Pelikan, Schlechter",1
"Sicilian: Lasker-Pelikan, Sveshnikov",1
"Sicilian: Lasker-Pelikan, Sveshnikov, Chelyabinsk",1
"Sicilian: Accelerated Dragon, Modern",3
"Sicilian: Accelerated Dragon, Modern Bc4",2
"Sicilian: Accelerated Dragon, Maróczy Bind",1
Sicilian: Delayed Alapin,3
Sicilian: Four Knights,3
Sicilian: French,21
"Sicilian: French, Normal",4
"Sicilian: French, Open",11
"Sicilian: French, Westerinen Attack",3
Sicilian: Kramnik,1
Sicilian: Pin,1
